web-scraper-order,web-scraper-start-url,words
"1574912029-140402","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","S"
"1574912029-140423","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Vaping"
"1574912029-140314","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","C:"
"1574912029-140382","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","NNA"
"1574912029-140386","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Ohms"
"1574912029-140354","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Fins"
"1574912029-140317","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","CASAA"
"1574912029-140362","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Hookah pen"
"1574912029-140313","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Buck"
"1574912029-140370","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Kanthal wire"
"1574912029-140388","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","P"
"1574912029-140316","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Carts"
"1574912029-140428","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Vapour And Gratification Inducing Nicotine Apparatus (VAGINA)"
"1574912029-140324","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Cloud Chasing"
"1574912029-140346","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Electronic Cigar"
"1574912029-140420","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","V"
"1574912029-140311","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Bridge"
"1574912029-140374","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","M"
"1574912029-140404","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Silica"
"1574912029-140303","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","ASH"
"1574912029-140357","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Flooding"
"1574912029-140406","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Smokeless Cigarette"
"1574912029-140419","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","U"
"1574912029-140371","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","L"
"1574912029-140407","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Snus"
"1574912029-140343","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","ECR"
"1574912029-140432","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","VG"
"1574912029-140399","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","RDA"
"1574912029-140377","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Mod"
"1574912029-140299","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","ADV/All Day Vape"
"1574912029-140443","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Finally…"
